id,blok_gudang,mode_pengiriman,panggilan_layanan_pelanggan,rating_pelanggan,harga_produk,pembelian_sebelumnya,kepentingan_produk,jenis_kelamin,diskon_ditawarkan,berat_dalam_gram,pengiriman_tepat_waktu
1,C,kapal,3,5,180.0,4,sedang,Perempuan,59,1481.0,1
2,C,darat,3,4,256.0,2,sedang,Laki-laki,55,2247.0,1
3,F,kapal,6,2,293.0,5,sedang,Perempuan,4,1281.0,0
4,F,kapal,7,5,243.0,5,sedang,Laki-laki,28,1100.0,1
5,A,kapal,2,5,139.0,3,,Perempuan,27,1233.0,1
6,D,darat,4,5,181.0,3,sedang,Laki-laki,1,5310.0,0
7,B,darat,2,4,269.0,4,rendah,Laki-laki,2,4267.0,1
8,F,kapal,4,2,151.0,4,sedang,Perempuan,5,5469.0,0
9,F,pesawat,6,3,266.0,4,,Perempuan,9,1876.0,0
10,F,darat,7,1,276.0,4,rendah,Perempuan,8,1560.0,1
11,F,kapal,3,5,156.0,2,rendah,Perempuan,43,1301.0,1
12,B,kapal,5,1,227.0,3,rendah,Perempuan,14,2589.0,1
13,C,kapal,3,5,236.0,3,sedang,Perempuan,1,5220.0,0
14,A,kapal,2,1,104.0,7,rendah,Laki-laki,30,1870.0,1
15,C,kapal,3,4,199.0,3,rendah,Laki-laki,7,5089.0,0
16,F,kapal,4,1,263.0,5,rendah,Perempuan,62,2292.0,1
17,B,kapal,3,5,134.0,3,sedang,Laki-laki,38,1169.0,1
18,B,kapal,5,5,191.0,4,sedang,Perempuan,10,4933.0,1
19,C,darat,6,2,239.0,4,sedang,Perempuan,7,4589.0,0
20,A,kapal,5,3,181.0,4,sedang,Perempuan,32,3893.0,1
21,F,pesawat,5,1,262.0,3,sedang,Laki-laki,9,5146.0,0
22,D,kapal,3,1,221.0,3,rendah,Perempuan,64,2794.0,1
23,D,kapal,4,2,262.0,6,sedang,Perempuan,2,1069.0,0
24,D,kapal,5,5,123.0,2,rendah,Perempuan,60,1653.0,1
25,C,kapal,5,1,187.0,4,tinggi,Laki-laki,14,3849.0,1
26,B,kapal,5,2,254.0,3,rendah,Perempuan,9,5714.0,1
27,A,darat,4,1,262.0,6,rendah,Perempuan,3,1830.0,1
28,F,kapal,4,4,166.0,6,rendah,Perempuan,6,4100.0,1
29,A,kapal,4,4,129.0,6,sedang,Perempuan,7,4873.0,1
30,B,pesawat,2,4,181.0,4,sedang,Laki-laki,13,2309.0,1
31,D,kapal,3,2,275.0,2,rendah,Perempuan,5,5393.0,1
32,B,kapal,3,3,239.0,3,sedang,Laki-laki,7,4942.0,0
33,D,kapal,3,1,136.0,2,sedang,Perempuan,61,1509.0,1
34,A,kapal,5,2,269.0,5,sedang,Perempuan,10,1113.0,1
35,F,darat,5,5,199.0,3,tinggi,Laki-laki,6,5547.0,1
36,F,darat,4,1,133.0,3,rendah,Laki-laki,57,1379.0,1
37,F,pesawat,5,5,180.0,2,tinggi,Laki-laki,5,4585.0,1
38,F,kapal,4,2,184.0,3,rendah,Perempuan,63,3609.0,1
39,C,kapal,4,4,206.0,4,sedang,Perempuan,9,1074.0,1
40,A,kapal,5,4,269.0,5,rendah,Perempuan,4,1537.0,1
41,F,darat,4,3,209.0,3,sedang,Laki-laki,7,4104.0,1
42,A,darat,3,3,,3,rendah,Perempuan,6,5187.0,0
43,F,kapal,3,1,157.0,2,sedang,Perempuan,39,1525.0,1
44,D,darat,3,4,174.0,2,rendah,Perempuan,4,4295.0,1
45,C,darat,5,4,217.0,5,rendah,Perempuan,8,1803.0,0
46,B,kapal,4,3,,3,tinggi,Perempuan,2,5298.0,0
47,A,pesawat,4,1,263.0,4,,Laki-laki,9,4390.0,0
48,D,kapal,3,3,143.0,3,sedang,Laki-laki,23,1281.0,1
49,B,kapal,6,4,235.0,6,rendah,Laki-laki,1,5533.0,1
50,B,kapal,3,3,138.0,4,rendah,Laki-laki,56,1440.0,1
51,F,darat,4,4,238.0,2,rendah,Perempuan,4,4337.0,1
52,C,kapal,3,5,183.0,2,rendah,Laki-laki,8,5881.0,1
53,F,kapal,2,3,228.0,3,tinggi,Laki-laki,5,4663.0,0
54,A,kapal,3,1,150.0,2,rendah,Laki-laki,9,1158.0,1
55,D,pesawat,6,1,273.0,4,sedang,Perempuan,6,1524.0,0
56,F,pesawat,4,2,182.0,3,sedang,Laki-laki,14,3413.0,1
57,F,kapal,7,2,247.0,4,sedang,Perempuan,9,1096.0,1
58,A,kapal,4,5,127.0,8,rendah,Laki-laki,39,1411.0,1
59,B,kapal,5,3,248.0,3,sedang,Laki-laki,4,2207.0,1
60,A,kapal,4,2,231.0,4,sedang,Perempuan,6,2512.0,1
61,B,kapal,4,5,211.0,4,sedang,Perempuan,10,4004.0,0
62,F,kapal,5,1,256.0,7,rendah,Perempuan,50,3837.0,1
63,F,kapal,4,5,245.0,3,sedang,Laki-laki,6,2717.0,1
64,C,kapal,5,5,230.0,3,sedang,Laki-laki,43,3609.0,1
65,C,kapal,6,1,236.0,4,rendah,Perempuan,10,2030.0,1
66,D,kapal,5,2,246.0,2,rendah,Perempuan,4,3617.0,1
67,F,kapal,2,1,264.0,3,sedang,Laki-laki,10,3409.0,1
68,B,kapal,7,2,277.0,5,rendah,Perempuan,1,1700.0,1
69,F,kapal,4,5,147.0,2,rendah,Laki-laki,17,1057.0,1
70,F,kapal,4,3,213.0,3,sedang,Laki-laki,4,4367.0,0
71,A,darat,5,2,135.0,2,sedang,Laki-laki,4,5405.0,0
72,F,darat,4,1,140.0,5,sedang,Laki-laki,6,4001.0,1
73,B,kapal,4,4,177.0,2,rendah,Laki-laki,6,1112.0,1
74,F,darat,3,4,287.0,5,sedang,Perempuan,9,5308.0,0
75,D,pesawat,5,3,266.0,3,rendah,Perempuan,19,2508.0,1
76,C,kapal,4,4,254.0,4,,Perempuan,10,4827.0,0
77,D,kapal,4,2,221.0,2,rendah,Perempuan,13,3097.0,1
78,D,kapal,3,2,185.0,3,sedang,Laki-laki,47,2467.0,1
79,C,kapal,3,4,148.0,3,rendah,Laki-laki,56,1550.0,1
80,F,kapal,4,3,275.0,5,rendah,Laki-laki,2,4622.0,1
81,F,kapal,6,3,245.0,4,sedang,Laki-laki,3,,1
82,B,kapal,2,2,271.0,4,sedang,Laki-laki,9,4066.0,0
83,B,kapal,4,3,158.0,6,sedang,Laki-laki,43,1478.0,1
84,B,kapal,3,5,212.0,4,rendah,Perempuan,9,5791.0,0
85,D,kapal,4,3,156.0,3,sedang,Perempuan,8,4701.0,1
86,D,darat,4,4,258.0,7,sedang,Laki-laki,8,5069.0,0
87,F,kapal,5,3,211.0,3,rendah,Perempuan,5,5087.0,0
88,D,kapal,5,4,263.0,2,tinggi,Perempuan,8,4914.0,0
89,F,kapal,3,4,139.0,2,rendah,Laki-laki,45,1192.0,1
90,F,kapal,6,2,285.0,4,sedang,Laki-laki,6,1016.0,1
